466,471,left,1
466,471,left,2
885,278,left,1
1435,863,left,0.1
1435,863,left,0.1
1435,863,left,0.1
600,877,left,1
1195,450,left,5
1341,279,left,1
1394,958,left,4
469,554,left,1
469,554,left,2
885,278,left,1
1435,863,left,0.1
1435,863,left,0.1
1435,863,left,0.1
600,877,left,1
1195,450,left,5
1341,279,left,1
1394,958,left,4
471,639,left,1
471,639,left,2
885,278,left,1
1435,863,left,0.1
1435,863,left,0.1
1435,863,left,0.1
600,877,left,1
1195,450,left,5
1341,279,left,1
1394,958,left,4
468,722,left,1
468,722,left,2
885,278,left,1
1435,863,left,0.1
1435,863,left,0.1
1435,863,left,0.1
600,877,left,1
1195,450,left,5
1341,279,left,1
1394,958,left,4
469,806,left,1
469,806,left,2
885,278,left,1
1435,863,left,0.1
1435,863,left,0.1
1435,863,left,0.1
600,877,left,1
1195,450,left,5
1341,279,left,1
1394,958,left,4
468,891,left,1
468,891,left,2
885,278,left,1
1435,863,left,0.1
1435,863,left,0.1
1435,863,left,0.1
600,877,left,1
1195,450,left,5
1341,279,left,1
1394,958,left,4
469,975,left,1
469,975,left,2
885,278,left,1
1435,863,left,0.1
1435,863,left,0.1
1435,863,left,0.1
600,877,left,1
1195,450,left,5
1341,279,left,1
1394,958,left,4
